message_id,user_query,dewey_match,response,Pitt Cyber Notes,routing,risk,risk_note,created_at,email,conversation_id,Accurate?,Notes,Expert review,SheetName,Pitt Cyber notes
1176333,What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate. ",,exact,,,2024-10-15 15:48:52 -0400,,182737.0,Yes,,,10-15-24,
1176305,How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",,exact,,,2024-10-15 15:40:45 -0400,,182733.0,Yes,,,10-15-24,
1176301,How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",,exact,,,2024-10-15 15:38:47 -0400,,182732.0,Yes,,,10-15-24,
1176285,Who is ahead in the polls?,Who is currently leading in the Pennsylvania presidential polls?,"Outlets including 538 and RealClear publish polling averages that show which presidential candidate is currently leading Pennsylvania. For the most accurate and up-to-date information, we recommend checking these sources directly.",,near,5.0,"The output is fully validated by the context. It accurately mentions that outlets like 538 and RealClear publish polling averages for the Pennsylvania presidential polls. There are no notable additions, omissions, or inaccuracies in the output.",2024-10-15 15:31:05 -0400,,182730.0,,,,10-15-24,
1176086,What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",,exact,,,2024-10-15 14:33:40 -0400,,182700.0,Yes,,,10-15-24,
1175549,What is my legislative district?,How do I know what district I'm in?,"To find your legislative and U.S. House districts in Pennsylvania, you can use the General Assembly's ""https://www.legis.state.pa.us/cfdocs/legis/home/findyourlegislator/"" Find Your Legislator tool. Once you input your address, the tool will show you which districts you live in and provide you with the name of your current representatives in the state House, state Senate, U.S. House, and U.S. Senate.",,exact,,,2024-10-15 12:08:48 -0400,,182621.0,,,,10-15-24,
1175545,How do I know what district I'm in?,How do I know what district I'm in?,"To find your legislative and U.S. House districts in Pennsylvania, you can use the General Assembly's ""https://www.legis.state.pa.us/cfdocs/legis/home/findyourlegislator/"" Find Your Legislator tool. Once you input your address, the tool will show you which districts you live in and provide you with the name of your current representatives in the state House, state Senate, U.S. House, and U.S. Senate.",,exact,,,2024-10-15 12:07:01 -0400,,182621.0,,,,10-15-24,
1175543,what district is zip code 15202,How do I know what district I'm in?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? How do I know what district I'm in? What is my legislative district?,,suggestion,,,2024-10-15 12:06:48 -0400,,182621.0,,,,10-15-24,
1175543,what district is zip code 15202,What is my legislative district?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? How do I know what district I'm in? What is my legislative district?,,suggestion,,,2024-10-15 12:06:48 -0400,,182621.0,,,,10-15-24,
1175539,Who are the candidates in district 2?,Who are the candidates in district 2?,Brendan Boyle is the Democratic incumbent and Aaron Bashir is the Republican candidate running to represent Pennsylvania's 2nd Congressional District in the U.S. House of Representatives.,,exact,,,2024-10-15 12:06:22 -0400,,182621.0,Yes,,,10-15-24,
1175537,What candidates are on the ballot for 15202,Who are the candidates in district 2?,I'm checking to see if we're on the same page. Do any of these questions spark something? Who are the candidates in district 2?,,suggestion,,,2024-10-15 12:06:14 -0400,,182621.0,,"Suggestion misinterprets question, suggests incorrect district",,10-15-24,
1175168,Do I have to vote for every office on the ballot?,Do I have to vote for every office on the ballot?,"You do not have to vote for everything on the ballot. In Pennsylvania, you have the option to abstain from voting on specific races or ballot questions. It is your right to choose which races and issues you want to cast a vote for and which ones you prefer not to vote on.",,exact,,,2024-10-15 09:50:49 -0400,,182572.0,Yes,,,10-15-24,
1175165,Not voting for a office,What happens if no one runs for a particular office during an election in Pennsylvania?,Let's make sure you get the resources you need. Do one of these questions resonate? What happens if no one runs for a particular office during an election in Pennsylvania? Do I have to vote for every office on the ballot? Can I vote for someone not on the ballot?,,suggestion,,,2024-10-15 09:50:35 -0400,,182572.0,,,,10-15-24,
1175152,Can I vote for someone not on the ballot?,Can I vote for someone not on the ballot?,"Yes, you can submit a write-in name on your ballot in Pennsylvania. If you wish to vote for a candidate not listed on the ballot, you have the option to write their name in the designated space. However, it's essential to ensure that the candidate you're writing in is eligible for the office and that you spell their name correctly. Remember to follow all the instructions for completing your ballot to ensure that your write-in vote is counted accurately.",,exact,,,2024-10-15 09:47:37 -0400,,182568.0,,,,10-15-24,
